project_id,project_url,n_commits,n_java_files,,,
JetBrains_MPS,https://github.com/JetBrains/MPS.git,94678,896,Running,Kumara,"Cannot run, stop running at middle without any error, tried 2 times.  same line of O/p  for 48Hrs"
neo4j_neo4j,https://github.com/neo4j/neo4j.git,79919,880,Done,Kumara,
apache_camel,https://github.com/apache/camel.git,72831,724,Done,Kumara,
gradle_gradle,https://github.com/gradle/gradle.git,119540,816,Done,Kumara,
processing_processing,https://github.com/processing/processing.git,13211,229,Done,kumara,
osmandapp_Osmand,https://github.com/osmandapp/Osmand.git,94509,696,Done,kumara,
wildfly_wildfly,https://github.com/wildfly/wildfly.git,40588,700,DONE,,
SonarSource_sonarqube,https://github.com/SonarSource/sonarqube.git,37170,764,DONE,,
grails_grails-core,https://github.com/grails/grails-core.git,21220,652,Done,kumara,
apache_hive,https://github.com/apache/hive.git,17444,892,Done,kumara,
apache_cassandra,https://github.com/apache/cassandra.git,30227,896,Done,kumara,
rstudio_rstudio,https://github.com/rstudio/rstudio.git,42746,820,DONE,,
spring-projects_spring-framework,https://github.com/spring-projects/spring-framework.git,31330,868,Done,kumara,
apache_incubator-kie-drools,https://github.com/apache/incubator-kie-drools.git,17385,816,Done,kumara,
BroadleafCommerce_BroadleafCommerce,https://github.com/BroadleafCommerce/BroadleafCommerce.git,18304,884,Done,kumara,
restlet_restlet-framework-java,https://github.com/restlet/restlet-framework-java.git,8928,844,Done,kumara,
orientechnologies_orientdb,https://github.com/orientechnologies/orientdb.git,25810,864,DONE,,
gwtproject_gwt,https://github.com/gwtproject/gwt.git,9512,688,DONE,,
hibernate_hibernate-orm,https://github.com/hibernate/hibernate-orm.git,19589,808,Done,kumara,
libgdx_libgdx,https://github.com/libgdx/libgdx.git,15404,744,DONE,,
wordpress-mobile_WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android.git,85543,246,DONE,,
spring-projects_spring-integration,https://github.com/spring-projects/spring-integration.git,11994,760,DONE,,
cgeo_cgeo,https://github.com/cgeo/cgeo.git,18754,684,DONE,my one worked - kumara,
JetBrains_intellij-plugins,https://github.com/JetBrains/intellij-plugins.git,27607,748,Done,kumara,
thunderbird_thunderbird-android,https://github.com/thunderbird/thunderbird-android.git,14657,168,DONE,,
geoserver_geoserver,https://github.com/geoserver/geoserver.git,13888,772,DONE,,
apereo_cas,https://github.com/apereo/cas.git,25891,884,DONE,,
prestodb_presto,https://github.com/prestodb/presto.git,23455,808,DONE,,
google_closure-compiler,https://github.com/google/closure-compiler.git,19263,888,DONE,,
jMonkeyEngine_jmonkeyengine,https://github.com/jMonkeyEngine/jmonkeyengine.git,7962,724,DONE,,
crate_crate,https://github.com/crate/crate.git,15919,860,Error,"Error RefactoringMiner: Command '.\RefactoringMiner-3.0.9\bin\RefactoringMiner -a C:\Arnold\OuluUniversity\SDMO\Python\Final_Project\repos\crate -json ""outputs\crate\crate_output.json""' returned non-zero exit status 1.","Exception in thread ""main"" java.lang.StackOverflowError"
Alluxio_alluxio,https://github.com/Alluxio/alluxio.git,34609,720,DONE,,at gr.uom.java.xmi.decomposition.AbstractCodeFragment.invocationCoveringEntireFragment(AbstractCodeFragment.java:423)
plutext_docx4j,https://github.com/plutext/docx4j.git,3978,756,DONE,,
open-keychain_open-keychain,https://github.com/open-keychain/open-keychain.git,7368,494,DONE,,
jboss-developer_jboss-eap-quickstarts,https://github.com/jboss-developer/jboss-eap-quickstarts.git,2276,113,DONE,,
wicketstuff_core,https://github.com/wicketstuff/core.git,5158,880,DONE,,
kiegroup_jbpm,https://github.com/kiegroup/jbpm.git,4308,760,DONE,,
ratpack_ratpack,https://github.com/ratpack/ratpack.git,6464,648,DONE,,
antlr_antlr4,https://github.com/antlr/antlr4.git,9379,484,DONE,,
go-lang-plugin-org_go-lang-idea-plugin,https://github.com/go-lang-plugin-org/go-lang-idea-plugin.git,3588,608,DONE,,
realm_realm-java,https://github.com/realm/realm-java.git,9011,496,DONE,,
oblac_jodd,https://github.com/oblac/jodd.git,5365,410,DONE,,
CellularPrivacy_Android-IMSI-Catcher-Detector,https://github.com/CellularPrivacy/Android-IMSI-Catcher-Detector.git,2695,133,DONE,,
bitcoinj_bitcoinj,https://github.com/bitcoinj/bitcoinj.git,5086,456,DONE,,
abarisain_dmix,https://github.com/abarisain/dmix.git,2605,128,DONE,,
real-logic_Aeron,https://github.com/real-logic/Aeron.git,17437,784,DONE,,
testng-team_testng,https://github.com/testng-team/testng.git,5417,426,DONE,,
pockethub_PocketHub,https://github.com/pockethub/PocketHub.git,3512,143,DONE,,
puniverse_quasar,https://github.com/puniverse/quasar.git,2494,548,DONE,,
robovm_robovm,https://github.com/robovm/robovm.git,2823,808,DONE,,
FasterXML_jackson-databind,https://github.com/FasterXML/jackson-databind.git,7913,876,DONE,,
cwensel_cascading,https://github.com/cwensel/cascading.git,2528,856,DONE,,
AntennaPod_AntennaPod,https://github.com/AntennaPod/AntennaPod.git,8947,338,DONE,,
brettwooldridge_HikariCP,https://github.com/brettwooldridge/HikariCP.git,2877,93,DONE,,
ignatov_intellij-erlang,https://github.com/ignatov/intellij-erlang.git,2182,840,DONE,,
MorphiaOrg_morphia,https://github.com/MorphiaOrg/morphia.git,4418,692,DONE,,
raphw_byte-buddy,https://github.com/raphw/byte-buddy.git,7250,768,DONE,,
Netflix_eureka,https://github.com/Netflix/eureka.git,1705,432,DONE,,
rax-maas_blueflood,https://github.com/rax-maas/blueflood.git,3152,316,DONE,,
redis_jedis,https://github.com/redis/jedis.git,2471,462,DONE,,
rest-assured_rest-assured,https://github.com/rest-assured/rest-assured.git,2309,502,DONE,,
linkedin_rest.li,https://github.com/linkedin/rest.li.git,2927,740,DONE,,
assertj_assertj,https://github.com/assertj/assertj.git,5237,888,DONE,,
baasbox_baasbox,https://github.com/baasbox/baasbox.git,1706,241,DONE,,
RoboBinding_RoboBinding,https://github.com/RoboBinding/RoboBinding.git,1088,696,DONE,,
spring-projects_spring-data-rest,https://github.com/spring-projects/spring-data-rest.git,1744,474,DONE,,
redsolution_xabber-android,https://github.com/redsolution/xabber-android.git,4264,518,DONE,,
android-async-http_android-async-http,https://github.com/android-async-http/android-async-http.git,899,71,DONE,,
redisson_redisson,https://github.com/redisson/redisson.git,9850,844,DONE,,
google_truth,https://github.com/google/truth.git,1994,189,DONE,,
phishman3579_java-algorithms-implementation,https://github.com/phishman3579/java-algorithms-implementation.git,879,121,DONE,,
hierynomus_sshj,https://github.com/hierynomus/sshj.git,1045,384,DONE,,
Netflix_zuul,https://github.com/Netflix/zuul.git,1665,339,DONE,,
scobal_seyren,https://github.com/scobal/seyren.git,640,96,DONE,,
luontola_retrolambda,https://github.com/luontola/retrolambda.git,530,65,DONE,,
zeromq_jeromq,https://github.com/zeromq/jeromq.git,1468,192,DONE,,
bennidi_mbassador,https://github.com/bennidi/mbassador.git,342,105,DONE,,
novoda_android-demos,https://github.com/novoda/android-demos.git,368,45,DONE,,
jfinal_jfinal,https://github.com/jfinal/jfinal.git,1640,444,DONE,,